UniqueID,DateOfBite,Species,Breed,Age,Gender,SpayNeuter,Borough,ZipCode,CLEANBREED,,,,,,
57,March 06 2015,DOG,PIT BULL MIX,10,F,FALSE,Brooklyn,11206,PIT BULL MIX,,,,,,
58,March 07 2015,DOG,"Bull Dog, English",2,M,TRUE,Brooklyn,11201,"BULL DOG, ENGLISH",,,,,,
59,February 27 2015,DOG,Pit Bull,3,M,FALSE,Brooklyn,11206,PIT BULL,,,,,,
60,March 07 2015,DOG,BULLDOG MIX,11,M,TRUE,Brooklyn,11233,BULLDOG MIX,,,,,,
61,March 08 2015,DOG,Shih Tzu,4,M,FALSE,Brooklyn,11234,SHIH TZU,,,,,,
62,March 10 2015,DOG,MIXED/UNKNOWN,,M,FALSE,Brooklyn,11201,MIXED/UNKNOWN,,,,,,
63,March 06 2015,DOG,Pit Bull,,U,FALSE,Brooklyn,,PIT BULL,,,,,,
64,March 12 2015,DOG,Jack Russ,7M,M,FALSE,Brooklyn,11208,JACK RUSS,,,,,,
65,March 12 2015,DOG,Shih Tzu,,U,FALSE,Brooklyn,11217,SHIH TZU,,,,,,
66,February 26 2015,DOG,Pit Bull,2,M,FALSE,Brooklyn,11216,PIT BULL,,,,,,
67,March 13 2015,DOG,Pug,6,M,TRUE,Brooklyn,11231,PUG,,,,,,
68,March 15 2015,DOG,Yorkshire Terrier,4,M,FALSE,Brooklyn,11205,YORKSHIRE TERRIER,,,,,,
69,March 14 2015,DOG,Chow Chow,3,M,FALSE,Brooklyn,11234,CHOW CHOW,,,,,,
70,March 15 2015,DOG,American Staffordshire Terrier,8,M,TRUE,Brooklyn,11230,AMERICAN STAFFORDSHIRE TERRIER,,,,,,
71,March 14 2015,DOG,SHEPHERD MIX,5,M,TRUE,Brooklyn,11229,SHEPHERD MIX,,,,,,
72,March 16 2015,DOG,Maltese,7,M,TRUE,Brooklyn,11221,MALTESE,,,,,,
73,March 18 2015,DOG,Pit Bull,5,M,TRUE,Brooklyn,11207,PIT BULL,,,,,,
74,March 16 2015,DOG,Yorkshire Terrier,1,M,FALSE,Brooklyn,11221,YORKSHIRE TERRIER,,,,,,
75,March 14 2015,DOG,Cocker Spaniel,,U,FALSE,Brooklyn,11213,COCKER SPANIEL,,,,,,
